100 1 0.000289000
100 2 0.000374700
100 4 0.000478000
100 8 0.000849800
100 16 0.001978500
100 32 0.002808500
1000 1 0.000201200
1000 2 0.000238000
1000 4 0.000355500
1000 8 0.001099800
1000 16 0.001381400
1000 32 0.002652800
10000 1 0.000304100
10000 2 0.000257000
10000 4 0.000370800
10000 8 0.000736800
10000 16 0.002310500
10000 32 0.012254300
100000 1 0.001107400
100000 2 0.000709600
100000 4 0.000545400
100000 8 0.000743400
100000 16 0.001327500
100000 32 0.002258800
1000000 1 0.008577900
1000000 2 0.004273000
1000000 4 0.002387400
1000000 8 0.003174000
1000000 16 0.003109400
1000000 32 0.004441000
10000000 1 0.080608200
10000000 2 0.043105000
10000000 4 0.024920500
10000000 8 0.027035900
10000000 16 0.023524100
10000000 32 0.028521800
100000000 1 0.809005600
100000000 2 0.414171500
100000000 4 0.255406600
100000000 8 0.209845800
100000000 16 0.211108600
100000000 32 0.209679600
1000000000 1 7.989525600
1000000000 2 4.075498900
1000000000 4 2.126745400
1000000000 8 2.108269400
1000000000 16 2.224546100
1000000000 32 2.119541900
